ID,type,descr,city,suburb,year,geo
284,Assault,Non-domestic violence related assault,Sydney,SURRY HILLS,2013,POINT (151.20805 -33.88882)
285,Assault,Non-domestic violence related assault,Sydney,WOOLLOOMOOLOO,2013,POINT (151.21983 -33.869111)
286,Assault,Non-domestic violence related assault,Sydney,SURRY HILLS,2013,POINT (151.21568 -33.8829)
287,Assault,Non-domestic violence related assault,Sydney,SYDNEY,2013,POINT (151.20999 -33.86972)
288,Assault,Non-domestic violence related assault,Sydney,POTTS POINT,2013,POINT (151.2231 -33.874915)
289,Assault,Non-domestic violence related assault,Sydney,DARLINGHURST,2013,POINT (151.217546 -33.880877)
291,Assault,Non-domestic violence related assault,Sydney,HAYMARKET,2013,POINT (151.2055 -33.87909)
292,Assault,Non-domestic violence related assault,Sydney,POTTS POINT,2013,POINT (151.22453 -33.87209)
294,Assault,Non-domestic violence related assault,Sydney,SURRY HILLS,2013,POINT (151.212744 -33.88441)
296,Assault,Non-domestic violence related assault,Sydney,POTTS POINT,2013,POINT (151.222425 -33.87488)
297,Assault,Non-domestic violence related assault,Sydney,SYDNEY,2013,POINT (151.20748 -33.86363)
298,Assault,Non-domestic violence related assault,Sydney,SYDNEY,2013,POINT (151.200521 -33.873551)
299,Assault,Non-domestic violence related assault,Sydney,ULTIMO,2013,POINT (151.201019 -33.884151)
300,Assault,Non-domestic violence related assault,Sydney,WATERLOO,2013,POINT (151.202944 -33.900754)
301,Assault,Non-domestic violence related assault,Sydney,SYDNEY,2013,POINT (151.20606 -33.86597)
302,Assault,Non-domestic violence related assault,Sydney,SYDNEY,2013,POINT (151.20606 -33.86597)
303,Assault,Non-domestic violence related assault,Sydney,SYDNEY,2013,POINT (151.20606 -33.86597)
304,Assault,Non-domestic violence related assault,Sydney,DARLINGHURST,2013,POINT (151.21912 -33.8751)
305,Assault,Non-domestic violence related assault,Sydney,SYDNEY,2013,POINT (151.20822 -33.87077)
307,Assault,Non-domestic violence related assault,Sydney,CAMPERDOWN,2013,POINT (151.178234 -33.886476)
308,Assault,Non-domestic violence related assault,Sydney,DARLINGHURST,2013,POINT (151.2154 -33.87843)
309,Assault,Non-domestic violence related assault,Sydney,REDFERN,2013,POINT (151.19814 -33.88937)
311,Assault,Non-domestic violence related assault,Sydney,POTTS POINT,2013,POINT (151.2231 -33.874915)
312,Assault,Non-domestic violence related assault,Sydney,CHIPPENDALE,2013,POINT (151.20117 -33.88766)
315,Assault,Non-domestic violence related assault,Sydney,REDFERN,2013,POINT (151.19958 -33.89213)
316,Assault,Non-domestic violence related assault,Sydney,SYDNEY,2013,POINT (151.201699 -33.866674)
317,Assault,Non-domestic violence related assault,Sydney,SYDNEY,2013,POINT (151.20743 -33.87809)
318,Assault,Non-domestic violence related assault,Sydney,CHIPPENDALE,2013,POINT (151.198685 -33.88564)
319,Assault,Non-domestic violence related assault,Sydney,WOOLLOOMOOLOO,2013,POINT (151.220123 -33.87483)
320,Assault,Non-domestic violence related assault,Sydney,POTTS POINT,2013,POINT (151.2231 -33.874915)
321,Assault,Non-domestic violence related assault,Sydney,POTTS POINT,2013,POINT (151.223597 -33.874108)
322,Assault,Non-domestic violence related assault,Sydney,PYRMONT,2013,POINT (151.196051 -33.867877)
323,Assault,Non-domestic violence related assault,Sydney,SURRY HILLS,2013,POINT (151.208045 -33.886209)
324,Assault,Non-domestic violence related assault,Sydney,SYDNEY,2013,POINT (151.203348 -33.869381)
325,Assault,Non-domestic violence related assault,Sydney,DARLINGHURST,2013,POINT (151.214313 -33.878695)
326,Assault,Non-domestic violence related assault,Sydney,SURRY HILLS,2013,POINT (151.21816 -33.885185)
327,Assault,Non-domestic violence related assault,Sydney,DARLINGHURST,2013,POINT (151.213765 -33.877885)
328,Assault,Non-domestic violence related assault,Sydney,DARLINGHURST,2013,POINT (151.21667 -33.88119)
