sa2_code,sa2_name,area_m2,total_cars
109031183,Deniliquin Surrounds,18337.9454,5304.0
109031184,Moama,167.0068,3423.0
109031185,Tocumwal - Finley - Jerilderie,5011.159,8697.0
110011186,Armidale,274.5996,17977.0
110011187,Armidale Surrounds - North,6098.2353,3937.0
110011188,Armidale Surrounds - South,3280.2792,5528.0
110011189,Walcha,6742.5353,3521.0
110021190,Glen Innes,5479.977,7901.0
110021191,Inverell,207.6617,9885.0
110021192,Inverell Surrounds - East,9270.8567,4551.0
110021193,Inverell Surrounds - West,8283.6399,5427.0
110021194,Tenterfield,7324.3072,5930.0
110031195,Moree,69.3971,6473.0
110031196,Moree Surrounds,19807.3163,4109.0
110031197,Narrabri,180.363,6379.0
110031198,Narrabri Surrounds,11965.644,4414.0
110041199,Gunnedah,90.1551,8468.0
110041200,Gunnedah Surrounds,5765.8611,4155.0
110041201,Quirindi,5077.8424,7385.0
110041202,Tamworth - East,102.1806,18297.0
110041203,Tamworth - North,76.0422,13549.0
110041204,Tamworth - West,62.5221,4996.0
110041205,Tamworth Surrounds,8980.4841,16772.0
111011206,Belmont - Bennetts Green,22.2102,14190.0
111011207,Belmont South - Blacksmiths,6.8068,4591.0
111011208,Charlestown - Dudley,22.2795,19748.0
111011209,Glendale - Cardiff - Hillsborough,21.9176,20568.0
111011210,Mount Hutton - Windale,6.2654,6435.0
111011211,Redhead,3.6842,2886.0
111011212,Swansea - Caves Beach,32.4068,9675.0
111011213,Valentine - Eleebana,9.9748,10060.0
111011214,Warners Bay - Boolaroo,12.54,12094.0
111021215,Bolton Point - Teralba,21.9698,7851.0
111021216,Bonnells Bay - Silverwater,10.1593,8221.0
111021217,Edgeworth - Cameron Park,15.6078,12824.0
111021218,Morisset - Cooranbong,330.5207,14088.0
111021219,Toronto - Awaba,43.6626,11654.0
111021220,Wangi Wangi - Rathmines,13.1714,7805.0
111021221,West Wallsend - Barnsley - Killingworth,72.5413,6365.0
111031222,Adamstown - Kotara,8.0182,11870.0
111031223,Beresfield - Hexham,59.2573,10368.0
111031224,Hamilton - Broadmeadow,6.7462,11553.0
111031225,Lambton - New Lambton,10.5485,12980.0
111031226,Maryland - Fletcher - Minmi,17.2634,10787.0
111031227,Mayfield - Warabrook,7.5372,14090.0
111031228,Merewether - The Junction,7.2464,10841.0
111031229,Newcastle - Cooks Hill,3.9772,11614.0
111031230,Newcastle Port - Kooragang,30.8589,15.0
111031231,Shortland - Jesmond,12.7086,8141.0
111031232,Stockton - Fullerton Cove,30.5131,5954.0
111031233,Wallsend - Elermore Vale,21.52,15621.0
111031234,Waratah - North Lambton,5.114,8886.0
111031235,Wickham - Carrington - Tighes Hill,3.5549,8221.0
112011236,Ballina,36.1602,15212.0
112011237,Ballina Surrounds,406.5486,14807.0
112011238,Bangalow,186.5293,5620.0
112011239,Brunswick Heads - Ocean Shores,54.4454,7268.0
112011240,Byron Bay,39.7771,9593.0
112011241,Evans Head,543.5362,4522.0
112011242,Lennox Head - Skennars Head,37.846,6854.0
112011243,Mullumbimby,268.075,8041.0
112021244,Casino,138.9581,9947.0
112021245,Casino Surrounds,3950.1024,6054.0
112021246,Goonellabah,25.2269,11558.0
112021247,Kyogle,1979.7778,6349.0
112021248,Lismore,63.3097,13467.0
112021249,Lismore Surrounds,1233.2421,13234.0
112031250,Kingscliff - Fingal Head,38.4359,10029.0
112031251,Murwillumbah,24.2868,7814.0
112031252,Murwillumbah Surrounds,908.2415,8414.0
112031253,Pottsville,189.4635,9523.0
112031254,Tweed Heads,100.4343,12617.0
112031550,Banora Point,9.4424,11152.0
112031551,Terranora - North Tumbulgum,29.0247,2323.0
112031552,Tweed Heads South,8.4562,5793.0
113011256,Griffith (NSW),56.3332,17638.0
113011257,Griffith Surrounds,23020.2045,12676.0
113011258,Leeton,373.8747,9402.0
113011259,Narrandera,5409.2764,5621.0
113021260,Tumbarumba,4520.6743,3382.0
113021261,Tumut,40.3087,6152.0
113021262,Tumut Surrounds,4613.7431,4685.0
113031263,Cootamundra,1656.1222,7292.0
113031264,Gundagai,2362.5241,3462.0
113031265,Junee,1970.8746,4665.0
113031266,Temora,3434.2619,6368.0
113031267,Wagga Wagga - East,54.0429,14783.0
113031268,Wagga Wagga - North,53.6776,3632.0
113031269,Wagga Wagga - South,29.4358,18906.0
113031270,Wagga Wagga - West,54.9391,10337.0
113031271,Wagga Wagga Surrounds,9334.6874,13955.0
114011272,Berry - Kangaroo Valley,537.0884,8544.0
114011273,Callala Bay - Currarong,166.9089,3317.0
114011274,Culburra Beach,76.4017,4533.0
114011275,Ettrema - Sassafras - Budawang,2144.4618,52.0
114011276,Huskisson - Vincentia,31.0117,3861.0
114011277,North Nowra - Bomaderry,99.7318,14818.0
114011278,Nowra,101.6799,18687.0
114011279,St Georges Basin - Erowal Bay,76.8594,12853.0
114011280,Sussex Inlet - Berrara,40.4363,3993.0
114011281,Tomerong - Wandandian - Woollamia,375.9761,3109.0
114011282,Ulladulla,46.7765,15105.0
114011283,Ulladulla Surrounds,677.6148,5034.0
114021284,Bowral,55.572,11747.0
114021285,Hill Top - Colo Vale,174.3752,6170.0
114021286,Mittagong,73.7568,9193.0
114021287,Moss Vale - Berrima,118.1152,10128.0
114021288,Robertson - Fitzroy Falls,498.4941,3549.0
114021289,Southern Highlands,1409.7013,6677.0
115011290,Baulkham Hills - East,8.3081,18238.0
115011291,Baulkham Hills (West) - Bella Vista,10.8721,15939.0
115011294,Glenhaven,7.2309,5903.0
115011296,West Pennant Hills,7.8291,9390.0
